symbol,name,ticker,current_price,market_cap,market_cap_rank,momentum_score,1d_change_percent,1d_volatility,1d_trend_strength,3d_change_percent,3d_volatility,3d_trend_strength,7d_change_percent,7d_volatility,7d_trend_strength,14d_change_percent,14d_volatility,14d_trend_strength,30d_change_percent,30d_volatility,30d_trend_strength
BTC,Bitcoin,X:BTCUSD,108750.0,2153250000000.0,1,12.592162439682808,0.13783908045976476,0,0,-3.40615575660813,2.3746565547814966,70.42322777216104,-4.0343502705370256,1.9763785238234899,73.94729135902543,-7.310241163823564,2.067240192820795,82.87491225729522,-3.84006955309786,1.8539011141203894,50.92971013133797
SOL,Solana,X:SOLUSD,202.74,95287800000.0,4,12.272659502633509,0.8829042122916011,0,0,-4.750151352861728,2.7099328298804957,78.83051752933527,-0.7039518399844591,5.29907218200025,38.70577915669909,6.999738425320426,5.457390687356116,72.05716461019,25.740809049551217,4.661405113422795,86.34761613629878
XLM,Stellar,X:XLMUSD,0.360024,10440696000.0,9,11.30428707148614,-0.12499166722218684,0,0,-6.209504929834627,3.1456008212182676,81.56074075215874,-11.825462606486543,3.412822609775659,91.83479755672951,-15.341366596505104,4.08947936420858,81.92434974179366,-5.895807925632421,4.289420665792186,42.73479331991041
ADA,Cardano,X:ADAUSD,0.8222,28777000000.0,6,10.369553842283391,0.5716370712721875,0,0,-3.7940221754255363,2.289518424583821,76.40968871519223,-9.239583790666027,3.7700939848848347,76.57226730651018,-13.97211818560134,4.706118765460256,70.8119959343689,15.828547415604424,4.441942087966024,59.17091882520297
XRP,Ripple,X:XRPUSD,2.8186,157841600000.0,3,9.56716340990185,0.593557085077695,0,0,-4.588955816535986,3.0467063857382835,72.65326551098467,-6.279377251842799,3.7393037930434936,68.81671608048178,-8.223926976111867,4.048220374511648,52.4967433900005,-4.198878226787407,4.219209017746376,38.680754217769596
LINK,Chainlink,X:LINKUSD,23.513,12932150000.000002,7,7.70210665657503,1.1270361076850977,0,0,-5.5604098816427125,4.466033241566654,65.01831546199973,-7.908597986057327,5.517638734124924,50.50986772265114,-7.323537436177268,6.3686764719886675,56.490579090460436,48.011204481792696,6.495832719881839,81.09865215491315
ETH,Ethereum,X:ETHUSD,4374.58,527136890000.0,2,5.429877417634541,2.0095643467487134,0,0,-1.0819497705761179,2.7409253732127508,23.658914090599662,-6.800400994131294,4.354257817005588,60.95721537472224,-0.2900254051529889,5.659042641731707,17.512622813121016,27.99744147958203,4.780846723732557,74.05864884206265
BCH,Bitcoin Cash,X:BCHUSD,552.88,10947024000.0,8,4.431545996670613,-0.0072348430039002355,0,0,-0.8945377624007329,4.5049555856623495,7.586123002833545,-5.186252315291213,3.7863358778595533,43.54918277756713,-5.0706595463365165,3.746526070414799,46.770900135740575,3.209185102212276,3.480145376402021,7.914642243969486
DOGE,Dogecoin,X:DOGEUSD,0.21597,31531620000.0,5,4.29088703337751,1.2455433625040506,0,0,-2.5492468134414845,3.3230909275306466,43.13400037244006,-5.672749234286698,4.715468325054683,31.556412546940898,-6.826316686551904,5.493505513227884,29.363631634692766,8.829384829783002,5.126084698601499,28.17036592795576
AVAX,Avalanche,X:AVAXUSD,23.78,9749800000.000002,10,4.229782422893302,0.9251471825063031,0,0,-3.7304452466907327,3.745010828768762,54.606693563069584,-7.048799380325329,4.7348235615491205,43.47223138006234,-4.3062200956937735,5.340491022155795,6.888985351642561,11.524163568773236,4.823794066237169,56.869284856155566
