date,rank,ticker,ticker_name,current_price,open_price,high_price,low_price,volume,volume_weighted_price,number_of_transactions,timestamp,market_status,type,active,currency_name,base_currency_symbol,base_currency_name
2025-08-28,1,X:AAVEUSD,Aave - United States dollar,320.56,335.83,336.51,319.52,56261.75533854914,327.065,76161,1756339199999,,,True,United States dollar,AAVE,Aave
2025-08-28,2,X:ADAUSD,Cardano - United States dollar,0.8508,0.8665,0.8791,0.8467,50700471.09104679,0.8639,108721,1756339199999,,,True,United States dollar,ADA,Cardano
2025-08-28,3,X:ALGOUSD,Algorand - United States dollar,0.2473,0.25484,0.26006,0.2468,25289946.03250663,0.2522,23480,1756339199999,,,True,United States dollar,ALGO,Algorand
2025-08-28,4,X:ATOMUSD,Cosmos - United States dollar,4.491,4.527,4.599,4.474,484454.2499999987,4.5344,12201,1756339199999,,,True,United States dollar,ATOM,Cosmos
2025-08-28,5,X:AVAXUSD,Avalanche - United States dollar,24.42,24.18,25.358,23.86,664994.6850853268,24.7231,34865,1756339199999,,,True,United States dollar,AVAX,Avalanche
2025-08-28,6,X:BATUSD,Basic Attention Token - United States dollar,0.15043,0.15037,0.15359,0.14829,509539.5362262738,0.1513,961,1756339199999,,,True,United States dollar,BAT,Basic Attention Token
2025-08-28,7,X:BCHUSD,Bitcoin Cash - United States dollar,550.24,550.86,563.29,544.32,10658.841158111949,554.6086,18300,1756339199999,,,True,United States dollar,BCH,Bitcoin Cash
2025-08-28,8,X:BTCUSD,Bitcoin - United States dollar,111470.0,112010.0,112850.0,110600.0,399.52496936000443,111643.5398,10087,1756339199999,,,True,United States dollar,BTC,Bitcoin
2025-08-28,9,X:COMPUSD,Compound - United States dollar,43.9,44.58,45.076,43.76,34273.55224735903,44.3271,10677,1756339199999,,,True,United States dollar,COMP,Compound
2025-08-28,10,X:CRVUSD,Curve DAO Token - United States dollar,0.8086,0.8077,0.838,0.801,8300827.398179306,0.8178,42189,1756339199999,,,True,United States dollar,CRV,Curve DAO Token
2025-08-28,11,X:DOGEUSD,Dogecoin - United States dollar,0.21864,0.21854,0.22411,0.2166,803291.0844631299,0.2208,1280,1756339199999,,,True,United States dollar,DOGE,Dogecoin
2025-08-28,12,X:DOTUSD,Polkadot - United States dollar,3.836,3.887,3.934,3.821,3521567.723910175,3.8783,35744,1756339199999,,,True,United States dollar,DOT,Polkadot
